,Open,Close
0,13.704,13.828
1,13.883,14.137
2,14.271,14.511
3,14.478,14.543
4,14.589,14.552
5,14.585,14.571
6,14.617,14.511
7,14.511,14.631
8,14.612,14.686
9,14.695,14.704
10,14.704,14.566
11,14.497,14.451
12,14.52,14.529
13,14.46,14.372
14,14.4,14.64
15,14.695,14.594
16,14.571,14.594
17,14.52,14.502
18,14.451,14.312
19,14.317,14.252
20,14.133,13.957
21,13.93,13.98
22,14.096,14.114
23,14.179,13.874
24,13.837,13.671
25,13.242,13.265
26,13.487,13.533
27,13.45,13.081
28,13.081,12.883
29,13.025,12.975
30,13.007,12.887
31,12.91,12.753
32,12.869,12.684
33,12.827,12.813
34,12.859,12.873
35,12.929,13.025
36,12.97,12.929
37,12.804,13.025
38,13.085,13.058
39,13.168,13.164
40,13.191,13.108
41,13.191,13.565
42,13.514,13.376
43,13.316,12.915
44,12.906,13.021
45,13.136,13.136
46,13.062,12.896
47,12.892,12.878
48,12.859,13.012
49,13.067,13.025
50,13.058,13.03
51,13.007,12.915
52,12.943,12.878
53,12.822,13.118
54,13.053,12.721
55,12.776,12.961
56,13.012,13.15
57,13.09,12.984
58,12.859,12.943
59,12.943,13.113
60,13.321,13.265
61,13.141,13.196
62,13.182,13.298
63,13.173,13.376
64,13.413,13.51
65,13.671,13.819
66,13.805,13.842
67,13.883,13.814
68,13.93,14.109
69,14.031,14.206
70,14.234,14.322
71,14.322,14.331
72,14.317,14.22
73,14.285,14.257
74,14.308,14.524
75,14.557,14.515
76,14.432,14.506
77,14.548,14.552
78,14.64,14.737
79,14.548,14.483
80,14.469,14.58
81,14.566,14.58
82,14.529,14.621
83,14.594,14.64
84,14.631,14.668
85,14.575,14.774
86,14.76,14.986
87,14.935,14.88
88,14.972,15.258
89,15.276,15.193
90,15.221,15.35
91,15.35,15.378
92,15.378,15.442
93,15.438,15.452
94,15.489,15.765
95,15.784,15.742
96,14.758,14.754
97,14.766,14.771
98,14.642,14.125
99,14.185,13.987
100,14.031,13.566
101,13.48,13.488
102,13.333,13.471
103,13.475,14.035
104,14.086,14.035
105,14.018,14.207
106,14.241,14.164
107,14.181,14.129
108,14.28,14.551
109,14.633,14.814
110,14.732,14.663
111,14.775,14.874
112,14.934,14.728
113,14.663,14.676
114,14.586,14.822
115,14.891,14.736
116,14.702,14.724
117,14.64,14.675
118,14.724,14.437
119,14.486,14.344
120,14.353,14.742
121,14.64,14.494
122,14.543,14.578
123,14.653,14.834
124,14.945,14.896
125,14.945,14.799
126,14.684,14.724
127,14.83,14.883
128,14.896,14.94
129,14.914,15.231
130,15.223,15.148
131,15.231,15.245
132,15.386,15.258
133,15.152,15.015
134,14.953,14.971
135,15.046,14.993
136,15.006,14.83
137,14.856,14.847
138,14.887,14.786
139,14.865,14.962
140,14.967,14.878
141,14.799,14.883
142,14.892,14.874
143,14.821,14.799
144,14.653,14.746
145,14.671,14.821
146,14.808,14.918
147,14.847,14.984
148,14.971,14.922
149,14.856,14.905
150,14.953,14.998
151,15.046,14.989
152,15.011,15.073
153,15.095,15.068
154,15.033,15.011
155,14.905,14.874
156,14.786,14.75
157,14.821,14.609
158,14.609,14.287
159,14.349,14.34
160,14.402,14.309
161,14.331,14.388
162,14.433,14.499
163,14.459,14.578
164,14.552,14.49
165,14.455,14.565
166,14.622,14.609
167,14.583,14.653
168,14.675,14.684
169,14.715,14.715
170,14.671,14.622
171,14.614,14.728
172,14.839,14.918
173,14.905,14.596
174,14.662,14.415
175,14.388,14.441
176,14.477,14.494
177,14.812,14.781
178,14.742,15.117
179,15.095,14.989
180,14.984,14.962
181,14.953,14.945
182,14.883,15.006
183,15.068,15.006
184,14.958,14.905
185,14.539,14.547
186,14.556,14.812
187,14.887,15.033
188,15.095,15.139
189,15.139,15.183
190,15.174,15.152
191,15.205,15.214
192,15.262,15.183
193,15.227,15.143
194,15.139,15.143
195,15.121,15.028
196,14.971,14.843
197,14.953,15.042
198,15.139,15.073
199,14.759,14.512
200,14.649,14.406
201,14.388,14.459
202,14.446,14.481
203,14.561,14.371
204,14.291,14.34
205,14.296,14.137
206,14.335,14.062
207,13.947,13.682
208,13.594,13.479
209,13.307,13.285
210,13.25,13.334
211,13.409,13.422
212,13.475,13.387
213,13.55,13.969
214,13.823,13.735
215,13.859,13.771
216,13.815,13.863
217,13.823,13.801
218,13.903,13.921
219,13.987,13.969
220,13.863,13.991
221,14.172,13.947
222,13.899,13.828
223,13.607,13.687
224,13.709,13.854
225,13.982,13.819
226,13.859,13.779
227,13.779,13.492
228,13.492,13.682
229,13.66,13.47
230,13.44,13.117
231,13.197,13.373
232,13.347,13.21
233,13.245,13.1
234,13.117,13.364
235,13.453,13.462
236,13.784,13.506
237,13.523,13.506
238,13.378,13.289
239,13.201,12.636
240,12.694,13.051
241,12.923,12.711
242,12.817,12.897
243,12.958,13.033
244,12.976,13.179
245,13.148,13.056
246,13.02,12.985
247,12.901,12.857
248,12.808,12.945
249,12.764,12.636
250,12.641,12.685
251,12.771,12.581
252,12.68,12.374
253,12.446,12.762
254,12.802,12.685
