,Open,Close,Up Trend,Down Trend,Difference
149,14.856,14.905,0,0,-0.049
150,14.953,14.998,0,0,-0.045
151,15.046,14.989,0,0,0.057
152,15.011,15.073,0,0,-0.062
153,15.095,15.068,0,1,0.027
154,15.033,15.011,0,1,0.022
155,14.905,14.874,0,1,0.031
156,14.786,14.75,0,1,0.036
157,14.821,14.609,0,1,0.212
158,14.609,14.287,0,1,0.322
159,14.349,14.34,0,0,0.009
160,14.402,14.309,0,0,0.093
161,14.331,14.388,1,0,-0.057
162,14.433,14.499,1,0,-0.066
163,14.459,14.578,1,0,-0.119
164,14.552,14.49,1,0,0.062
165,14.455,14.565,1,0,-0.11
166,14.622,14.609,1,0,0.013
167,14.583,14.653,1,0,-0.07
168,14.675,14.684,1,0,-0.009
169,14.715,14.715,1,0,0
170,14.671,14.622,1,0,0.049
171,14.614,14.728,1,0,-0.114
172,14.839,14.918,1,0,-0.079
173,14.905,14.596,0,0,0.309
174,14.662,14.415,G,0,0.247
175,14.388,14.441,G,0,-0.053
176,14.477,14.494,G,0,-0.017
177,14.812,14.781,G,0,0.031
178,14.742,15.117,G,0,-0.375
179,15.095,14.989,0,0,0.106
180,14.984,14.962,0,0,0.022
181,14.953,14.945,0,0,0.008
182,14.883,15.006,0,0,-0.123
183,15.068,15.006,0,0,0.062
184,14.958,14.905,0,0,0.053
185,14.539,14.547,0,0,-0.008
186,14.556,14.812,H,0,-0.256
187,14.887,15.033,H,0,-0.146
188,15.095,15.139,H,0,-0.044
189,15.139,15.183,H,0,-0.044
190,15.174,15.152,H,0,0.022
191,15.205,15.214,H,0,-0.009
192,15.262,15.183,0,1,0.079
193,15.227,15.143,0,1,0.084
194,15.139,15.143,0,1,-0.004
195,15.121,15.028,0,1,0.093
196,14.971,14.843,0,1,0.128
197,14.953,15.042,0,0,-0.089
198,15.139,15.073,0,0,0.066
199,14.759,14.512,0,0,0.247
200,14.649,14.406,0,0,0.243
201,14.388,14.459,0,0,-0.071
202,14.446,14.481,0,0,-0.035
203,14.561,14.371,0,1,0.19
204,14.291,14.34,0,1,-0.049
205,14.296,14.137,0,1,0.159
206,14.335,14.062,0,1,0.273
207,13.947,13.682,0,1,0.265
208,13.594,13.479,0,1,0.115
209,13.307,13.285,0,1,0.022
210,13.25,13.334,I,0,-0.084
211,13.409,13.422,I,0,-0.013
212,13.475,13.387,I,0,0.088
213,13.55,13.969,I,0,-0.419
214,13.823,13.735,I,0,0.088
215,13.859,13.771,I,0,0.088
216,13.815,13.863,I,0,-0.048
217,13.823,13.801,I,0,0.022
218,13.903,13.921,I,0,-0.018
219,13.987,13.969,I,0,0.018
220,13.863,13.991,I,0,-0.128
221,14.172,13.947,0,0,0.225
222,13.899,13.828,0,0,0.071
223,13.607,13.687,0,0,-0.08
224,13.709,13.854,0,0,-0.145
225,13.982,13.819,0,G,0.163
226,13.859,13.779,0,G,0.08
227,13.779,13.492,0,G,0.287
228,13.492,13.682,0,G,-0.19
229,13.66,13.47,0,G,0.19
230,13.44,13.117,0,G,0.323
231,13.197,13.373,0,G,-0.176
232,13.347,13.21,0,G,0.137
233,13.245,13.1,0,G,0.145
234,13.117,13.364,0,0,-0.247
235,13.453,13.462,0,0,-0.009
236,13.784,13.506,0,0,0.278
237,13.523,13.506,0,H,0.017
238,13.378,13.289,0,H,0.089
239,13.201,12.636,0,H,0.565
240,12.694,13.051,0,H,-0.357
241,12.923,12.711,0,0,0.212
242,12.817,12.897,0,0,-0.08
243,12.958,13.033,0,0,-0.075
244,12.976,13.179,0,0,-0.203
245,13.148,13.056,0,0,0.092
246,13.02,12.985,0,0,0.035
247,12.901,12.857,0,0,0.044
248,12.808,12.945,0,0,-0.137
249,12.764,12.636,0,0,0.128
250,12.641,12.685,0,0,-0.044
251,12.771,12.581,0,0,0.19
252,12.68,12.374,0,0,0.306
253,12.446,12.762,0,0,-0.316
254,12.802,12.685,0,0,0.117
