Date,Open,High,Low,Close,Adj Close,Volume,Difference,Year,Volume_Cnt,Month,Day,Difference_Afirm
2019-10-09,45.66999816894531,46.040000915527344,45.33000183105469,45.66999816894531,42.70585250854492,9509400,18.71414566040039,2019,0,10,09,0
2019-10-10,46.060001373291016,47.45000076293945,46.060001373291016,47.2400016784668,44.173954010009766,15441700,-1.4681015014648438,2019,1,10,10,1
2019-10-11,48.029998779296875,48.91999816894531,48.0,48.63999938964844,45.483089447021484,24527700,-1.3091354370117188,2019,2,10,11,1
2019-10-14,48.20000076293945,48.25,47.560001373291016,47.9900016784668,44.87527847290039,11520400,0.6078109741210938,2019,1,10,14,0
2019-10-15,47.880001068115234,48.290000915527344,47.529998779296875,47.90999984741211,44.800472259521484,14669700,0.07480621337890625,2019,1,10,15,0
2019-10-16,47.38999938964844,47.52000045776367,46.63999938964844,46.79999923706055,43.76251220703125,24417100,1.0379600524902344,2019,2,10,16,0
2019-10-17,46.9900016784668,47.04999923706055,46.61000061035156,46.709999084472656,43.67835235595703,14158400,0.08415985107421875,2019,1,10,17,0
2019-10-18,46.88999938964844,47.18000030517578,46.02000045776367,46.029998779296875,43.04248809814453,16452100,0.6358642578125,2019,1,10,18,0
2019-10-21,46.41999816894531,47.209999084472656,46.2599983215332,47.209999084472656,44.14590072631836,13486800,-1.1034126281738281,2019,1,10,21,1
2019-10-22,47.279998779296875,47.540000915527344,47.099998474121094,47.29999923706055,44.23006057739258,15194800,-0.08415985107421875,2019,1,10,22,1
2019-10-23,47.599998474121094,47.83000183105469,47.029998779296875,47.11000061035156,44.052391052246094,12362800,0.17766952514648438,2019,1,10,23,0
2019-10-24,47.459999084472656,47.56999969482422,46.52000045776367,46.75,43.715755462646484,14646600,0.3366355895996094,2019,1,10,24,0
2019-10-25,47.75,48.560001373291016,47.54999923706055,48.560001373291016,45.40828323364258,21754000,-1.6925277709960938,2019,2,10,25,1
2019-10-28,48.650001525878906,48.79999923706055,48.34000015258789,48.70000076293945,45.53919982910156,10932200,-0.13091659545898438,2019,1,10,28,1
2019-10-29,48.40999984741211,48.79999923706055,48.08000183105469,48.650001525878906,45.4924430847168,10091200,0.046756744384765625,2019,1,10,29,0
2019-10-30,48.400001525878906,48.619998931884766,47.689998626708984,48.59000015258789,45.436336517333984,15325200,0.0561065673828125,2019,1,10,30,0
2019-10-31,48.099998474121094,48.47999954223633,46.86000061035156,47.20000076293945,44.13655090332031,21765000,1.2997856140136719,2019,2,10,31,0
2019-11-01,47.79999923706055,48.70000076293945,47.7599983215332,48.439998626708984,45.29607009887695,20151300,-1.1595191955566406,2019,2,11,01,1
2019-11-04,49.08000183105469,49.81999969482422,49.08000183105469,49.81999969482422,46.58650588989258,20980000,-1.290435791015625,2019,2,11,04,1
2019-11-05,50.06999969482422,50.279998779296875,49.43000030517578,49.869998931884766,46.63325881958008,15951200,-0.0467529296875,2019,1,11,05,1
2019-11-06,49.900001525878906,49.970001220703125,48.900001525878906,49.689998626708984,46.46493911743164,14879300,0.1683197021484375,2019,1,11,06,0
2019-11-07,49.84000015258789,50.529998779296875,49.540000915527344,50.11000061035156,46.85768127441406,26788900,-0.3927421569824219,2019,2,11,07,1
2019-11-08,49.33000183105469,49.54999923706055,48.810001373291016,49.18000030517578,45.988040924072266,19854000,0.8696403503417969,2019,1,11,08,0
2019-11-11,48.439998626708984,48.439998626708984,47.959999084472656,48.130001068115234,45.00619125366211,20385800,0.9818496704101562,2019,2,11,11,0
2019-11-12,48.29999923706055,48.4900016784668,47.900001525878906,47.900001525878906,44.79111862182617,13130500,0.2150726318359375,2019,1,11,12,0
2019-11-13,47.650001525878906,48.060001373291016,46.970001220703125,47.119998931884766,44.06174087524414,16882100,0.7293777465820312,2019,1,11,13,0
2019-11-14,47.349998474121094,47.58000183105469,46.959999084472656,47.0,43.94953536987305,14155900,0.11220550537109375,2019,1,11,14,0
2019-11-18,47.720001220703125,48.04999923706055,47.47999954223633,47.61000061035156,44.51994323730469,16777800,-0.5704078674316406,2019,1,11,18,1
